Date,Reading,Writing,Meetings,Research,Misc.,Total,
1/6/20,0,0,1,0,3,4,
1/7/20,0,0,0,0,0,0,
1/8/20,1,0,0,0,3,4,
1/9/20,1,0,1,0,1,3,
1/10/20,5,1,0,0,0,6,
1/11/20,0,0,0,0,0,0,
1/12/20,0,0,0,0,0,0,
1/13/20,1,0,1,0,2,4,
1/14/20,3,0,0,0,1,4,
1/15/20,2,0,0,1,3,6,
1/16/20,1,0,2,2,0,5,
1/17/20,5,1,1,0,0,7,
1/18/20,0,0,0,0,0,0,
1/19/20,0,0,0,0,0,0,
1/20/20,0,0,0,0,1,1,
1/21/20,0,0,0,1,2,3,
1/22/20,0,0,3,0,1,4,
1/23/20,0,2,1,2,0,5,
1/24/20,5,0,0,0,0,5,
1/25/20,0,0,0,1,0,1,
1/26/20,0,0,0,0,0,0,
1/27/20,0,0,3,5,0,8,
1/28/20,0,0,2,1,1,4,
1/29/20,0,0,2,8,0,10,
1/30/20,0,0,0,6,0,6,
1/31/20,4,0,0,5,0,9,
2/1/20,0,0,0,0,1,1,
2/2/20,0,0,0,0,2,2,
2/3/20,0,0,4,0,3,7,
2/4/20,0,0,0,4,1,5,
2/5/20,0,0,3,1,0,4,
2/6/20,0,0,3,1,0,4,
2/7/20,3,0,0,1,1,5,
2/8/20,0,0,0,3,0,3,
2/9/20,0,0,0,0,0,0,
2/10/20,0,0,2,2,1,5,
2/11/20,1,0,0,1,0,2,
2/12/20,0,0,5,1,0,6,
2/13/20,0,0,1,0,0,1,
2/14/20,0,0,1,0,0,1,
2/15/20,0,0,0,0,0,0,
2/16/20,0,0,0,0,0,0,
2/17/20,0,0,4,2,1,7,
2/18/20,0,0,0,1,1,2,
2/19/20,0,0,0,1,2,3,
2/20/20,0,0,2,1,0,3,
2/21/20,2,0,2,0,0,4,
2/22/20,0,0,0,0,0,0,
2/23/20,0,0,0,0,0,0,
2/24/20,0,1,1,0,1,3,
2/25/20,0,0,1,2,0,3,
2/26/20,0,0,2,4,0,6,
2/27/20,0,0,1,5,0,6,
2/28/20,3,0,0,0,0,3,
2/29/20,2,0,0,0,0,2,
3/1/20,0,0,0,0,0,0,
3/2/20,0,0,3,3,1,7,
3/3/20,0,1,1,0,0,2,
3/4/20,0,0,2,1,0,3,
3/5/20,0,0,0,0,0,0,
3/6/20,0,0,0,0,0,0,
3/7/20,0,0,0,0,0,0,
3/8/20,0,0,0,0,0,0,
3/9/20,2,0,1,0,2,5,
3/10/20,0,1,0,1,0,2,
3/11/20,0,1,1,1,0,3,
3/12/20,1,1,1,0,1,4,
3/13/20,0,0,0,0,0,0,
3/14/20,0,0,0,0,0,0,
3/15/20,0,0,0,0,0,0,
3/16/20,1,0,0,0,1,2,
3/17/20,0,0,2,0,1,3,
3/18/20,0,0,1,0,1,2,
3/19/20,0,0,2,0,0,2,
3/20/20,1,0,0,1,0,2,
3/21/20,0,0,0,0,0,0,
3/22/20,0,0,0,0,0,0,
3/23/20,0,0,2,0,2,4,
3/24/20,0,1,1,0,0,2,
3/25/20,1,1,1,1,0,4,
3/26/20,1,0,3,0,1,5,
3/27/20,0,0,1,1,0,2,
3/28/20,0,0,0,0,0,0,
3/29/20,0,0,0,0,0,0,
3/30/20,0,0,3,1,1,5,
3/31/20,0,1,3,2,0,6,
4/1/20,0,0,2,1,0,3,
4/2/20,0,1,3,1,0,5,
4/3/20,0,0,2,1,0,3,
4/4/20,0,0,0,1,0,1,
4/5/20,0,1,0,0,0,1,
4/6/20,0,1,3,1,0,5,
4/7/20,2,0,2,1,0,5,
4/8/20,0,0,3,1,0,4,
4/9/20,0,0,2,2,0,4,
4/10/20,0,0,1,1,0,2,
4/11/20,0,0,0,1,0,1,
4/12/20,0,0,0,1,0,1,
4/13/20,0,0,2,3,0,5,
4/14/20,0,1,0,0,0,1,
4/15/20,0,1,1,1,0,3,
4/16/20,0,0,2,2,0,4,
4/17/20,0,0,1,1,0,2,
4/18/20,1,1,0,0,0,2,
4/19/20,0,1,0,0,0,1,
4/20/20,0,1,2,0,0,3,
4/21/20,0,1,0,0,0,1,
4/22/20,0,1,1,0,0,2,
4/23/20,0,0,2,1,0,3,
4/24/20,0,1,1,0,0,2,
4/25/20,0,0,0,0,0,0,
4/26/20,0,0,0,0,0,0,
4/27/20,1,0,1,1,0,3,
4/28/20,0,0,0,1,0,1,
4/29/20,1,0,0,3,0,4,
4/30/20,0,0,2,2,0,4,
5/1/20,0,1,1,0,0,2,
5/2/20,0,2,0,1,0,3,
5/3/20,0,1,0,1,0,2,
5/4/20,0,0,1,0,0,1,
5/5/20,0,0,0,0,1,1,
5/6/20,1,0,1,0,0,2,
5/7/20,0,0,0,0,0,0,
